序號,測站,縣市,監測日期,空氣品質指標,空氣污染指標物,狀態,二氧化硫,一氧化碳,臭氧,懸浮微粒,細懸浮微粒,二氧化氮,氮氧化物,一氧化氮,風速,風向,經度,緯度
1,基隆,屏東縣,2023/4/16 16:00,84,臭氧八小時,普通,4.1,0.36,88,58,27,8.3,9.1,0.8,0.5,354,121.760056,25.129167
2,基隆,苗栗縣,2023/4/16 15:00,81,細懸浮微粒,普通,3.6,0.36,80.6,57,28,8.6,9.8,1.1,0.6,4,121.760056,25.129167
3,基隆,桃園市,2023/4/16 14:00,81,細懸浮微粒,普通,2.4,0.35,74.5,56,30,7.4,8.5,1,0.9,86,121.760056,25.129167
4,基隆,高雄市,2023/4/16 13:00,77,細懸浮微粒,普通,2.5,0.35,70,53,23,7.1,8.3,1.1,0.8,26,121.760056,25.129167
5,基隆,基隆市,2023/4/16 12:00,79,細懸浮微粒,普通,2.5,0.37,66.1,62,28,11,12.5,1.5,0.6,36,121.760056,25.129167
6,基隆,新北市,2023/4/16 11:00,82,細懸浮微粒,普通,2.4,0.39,59.5,58,25,11.8,13.7,1.9,0.8,41,121.760056,25.129167
7,基隆,新北市,2023/4/16 10:00,87,細懸浮微粒,普通,1.9,0.45,43.1,44,18,9.7,11.8,2.1,0.6,53,121.760056,25.129167
8,基隆,嘉義市,2023/4/16 09:00,93,細懸浮微粒,普通,2,0.43,40.4,45,23,9.4,11.4,1.9,0.6,53,121.760056,25.129167
9,基隆,彰化縣,2023/4/16 08:00,97,細懸浮微粒,普通,1.9,0.53,29.5,52,34,14,16.8,2.7,0.7,266,121.760056,25.129167
10,基隆,臺北市,2023/4/16 07:00,97,細懸浮微粒,普通,1.7,0.55,24.5,57,33,13.7,15.4,1.7,0.2,237,121.760056,25.129167
11,基隆,臺南市,2023/4/16 06:00,98,細懸浮微粒,普通,1.7,0.44,32.5,56,30,8.2,8.6,0.4,1.2,275,121.760056,25.129167
12,汐止,南投縣,2023/4/16 16:00,87,臭氧八小時,普通,5.7,0.37,78.8,52,25,9.4,10.5,1,0.8,76,121.64081,25.06624
13,汐止,苗栗縣,2023/4/16 15:00,65,細懸浮微粒,普通,6.4,0.34,81.6,47,21,9.3,10.3,1,0.9,14,121.64081,25.06624
14,汐止,桃園市,2023/4/16 14:00,63,細懸浮微粒,普通,3.7,0.41,93.5,59,23,10.5,11.4,0.9,2.6,64,121.64081,25.06624
15,汐止,高雄市,2023/4/16 13:00,63,細懸浮微粒,普通,1.1,0.49,,53,16,11.9,13.2,1.2,0.3,271,121.64081,25.06624
16,汐止,基隆市,2023/4/16 12:00,69,細懸浮微粒,普通,0.9,0.44,,43,17,12,14.3,2.2,0.3,164,121.64081,25.06624
17,汐止,新北市,2023/4/16 11:00,73,細懸浮微粒,普通,1,0.41,46.4,43,10,13.7,17.7,4,0.3,274,121.64081,25.06624
18,汐止,新北市,2023/4/16 10:00,81,細懸浮微粒,普通,1.4,0.54,30.2,40,20,20.1,27.2,7.1,0.3,268,121.64081,25.06624
19,汐止,嘉義市,2023/4/16 09:00,84,細懸浮微粒,普通,1.5,0.62,,47,26,19.8,28.5,8.6,0.3,291,121.64081,25.06624
20,汐止,彰化縣,2023/4/16 08:00,88,細懸浮微粒,普通,0.9,0.59,15.7,48,24,17.6,25.7,8.1,0.3,246,121.64081,25.06624
21,汐止,臺北市,2023/4/16 07:00,92,細懸浮微粒,普通,0.4,0.52,10.8,42,25,14.9,19.2,4.3,0.3,342,121.64081,25.06624
22,汐止,臺南市,2023/4/16 06:00,96,細懸浮微粒,普通,0.6,0.45,,46,27,10.5,11.6,1,0.3,258,121.64081,25.06624
23,萬里,南投縣,2023/4/16 16:00,115,臭氧八小時,對敏感族群不健康,2.7,0.38,97.4,71,25,6.8,7.7,0.9,1.8,50,121.689881,25.179667
24,萬里,苗栗縣,2023/4/16 15:00,87,臭氧八小時,普通,2.6,0.36,88.4,69,24,5.5,6.4,0.9,2,43,121.689881,25.179667
25,萬里,桃園市,2023/4/16 14:00,79,細懸浮微粒,普通,2,0.36,83.7,76,30,4.9,5.8,0.9,3.6,22,121.689881,25.179667
26,萬里,高雄市,2023/4/16 13:00,79,細懸浮微粒,普通,1.7,0.35,76.9,68,25,6,7.3,1.3,2.6,48,121.689881,25.179667
27,萬里,基隆市,2023/4/16 12:00,81,細懸浮微粒,普通,2.5,0.39,66.6,67,32,11.3,13.4,2.1,2.4,46,121.689881,25.179667
28,萬里,新北市,2023/4/16 11:00,77,細懸浮微粒,普通,2.6,0.36,73.2,72,30,4.9,6,1.1,2.7,47,121.689881,25.179667
29,萬里,新北市,2023/4/16 10:00,74,細懸浮微粒,普通,2.9,0.37,64.7,65,28,4.7,5.8,1.1,2.2,52,121.689881,25.179667
30,萬里,嘉義市,2023/4/16 09:00,73,細懸浮微粒,普通,2.3,0.37,56.6,60,29,5.7,7.6,1.9,1.8,47,121.689881,25.179667
31,萬里,彰化縣,2023/4/16 08:00,71,細懸浮微粒,普通,0.7,0.36,21,31,18,7.5,10.8,3.2,0.9,170,121.689881,25.179667
32,萬里,臺北市,2023/4/16 07:00,73,細懸浮微粒,普通,0.6,0.3,28.4,30,15,2.8,3.7,0.9,1.9,205,121.689881,25.179667
33,萬里,臺南市,2023/4/16 06:00,79,細懸浮微粒,普通,0.8,0.29,30.7,32,18,1.9,2.6,0.6,3.4,219,121.689881,25.179667
34,新店,南投縣,2023/4/16 16:00,100,臭氧八小時,普通,2.3,0.47,96.2,57,27,9.7,10.6,0.8,2.1,346,121.537778,24.977222
35,新店,苗栗縣,2023/4/16 15:00,71,臭氧八小時,普通,2,0.46,94.6,52,24,10.5,11.4,0.8,2,339,121.537778,24.977222
36,新店,桃園市,2023/4/16 14:00,53,細懸浮微粒,普通,1.5,0.4,90.6,53,21,7.2,8,0.8,2.6,335,121.537778,24.977222
37,新店,高雄市,2023/4/16 13:00,48,,良好,1.4,0.36,84,46,18,8.1,9.2,1.1,1.8,297,121.537778,24.977222
38,新店,基隆市,2023/4/16 12:00,47,,良好,1.4,0.35,72.6,54,16,8.7,10,1.2,1.6,271,121.537778,24.977222
39,新店,新北市,2023/4/16 11:00,46,,良好,0.9,0.44,56,49,14,11.6,14.1,2.4,2.1,341,121.537778,24.977222
40,新店,新北市,2023/4/16 10:00,48,,良好,0.8,0.31,36.4,36,12,6.1,8.3,2.1,1.1,286,121.537778,24.977222
41,新店,嘉義市,2023/4/16 09:00,51,細懸浮微粒,普通,0.7,0.28,30.1,30,15,5,7.1,2,1.6,155,121.537778,24.977222
42,新店,彰化縣,2023/4/16 08:00,53,細懸浮微粒,普通,0.8,0.28,26.5,33,11,5.2,6.9,1.6,2.9,188,121.537778,24.977222
43,新店,臺北市,2023/4/16 07:00,55,細懸浮微粒,普通,0.8,0.33,20.9,28,15,7.4,8.8,1.4,2,188,121.537778,24.977222
44,新店,臺南市,2023/4/16 06:00,56,細懸浮微粒,普通,0.7,0.32,23.2,24,15,4.1,4.7,0.6,1.9,183,121.537778,24.977222
45,土城,南投縣,2023/4/16 16:00,80,臭氧八小時,普通,3.8,0.45,89.8,53,26,8.4,9.2,0.7,1.7,299,121.451861,24.982528
46,土城,苗栗縣,2023/4/16 15:00,55,細懸浮微粒,普通,3,0.52,84.7,46,25,10,11,0.9,2.2,302,121.451861,24.982528
47,土城,桃園市,2023/4/16 14:00,52,細懸浮微粒,普通,1.6,0.38,83.5,55,17,6.3,6.9,0.5,3,331,121.451861,24.982528
48,土城,高雄市,2023/4/16 13:00,50,,良好,1.8,0.35,78.2,44,18,6.3,7,0.7,2,226,121.451861,24.982528
49,土城,基隆市,2023/4/16 12:00,48,,良好,1.6,0.37,67.9,44,15,8.6,9.9,1.2,1.8,246,121.451861,24.982528
50,土城,新北市,2023/4/16 11:00,48,,良好,1.5,0.37,51.5,50,19,11.1,13.4,2.3,1.9,311,121.451861,24.982528
51,土城,新北市,2023/4/16 10:00,46,,良好,1.3,0.45,39.4,45,16,14.1,18.3,4.2,0.6,178,121.451861,24.982528
52,土城,嘉義市,2023/4/16 09:00,46,,良好,1.3,0.52,21.6,38,15,15.6,24,8.4,0.8,71,121.451861,24.982528
